#random sampling: 12500
Tax	ERR315856	ERR315858	ERR315857
Hafnia paralvei	0	0	1
Hahella chejuensis	1	0	1
Hahella sp. KA22	1	0	0
Halanaerobium hydrogeniformans	1	0	0
Halanaerobium praevalens	1	1	2
Halarchaeum sp. CBA1220	0	1	0
Halarcobacter bivalviorum	0	2	1
Halarcobacter ebronensis	2	2	4
Halieaceae bacterium IMCC3088	3	0	0
Halioglobus japonicus	1	0	0
Halioglobus maricola	3	1	0
Halioglobus pacificus	1	0	0
Haliscomenobacter hydrossis	0	1	0
Haloactinobacterium sp. HY164	1	0	0
Halobacillus halophilus	1	0	0
Halobacillus litoralis	0	1	0
Halobacteriovorax marinus	2	2	0
Halobacteriovorax sp. BALOs_7	2	4	0
Halobacteroides halobius	0	1	0
Halocella sp. SP3-1	1	1	0
Halomonas hydrothermalis	0	1	0
Halomonas meridiana	1	0	2
Halomonas sp. AM6	0	3	0
Halomonas sp. GFAJ-1	0	0	1
Halomonas sp. GT	0	1	0
Halomonas sp. KO116	0	2	1
Halomonas sp. NBT06E8	0	0	1
Halomonas sp. SH5A2	0	2	0
Halomonas sp. Y2R2	1	0	0
Halorhodospira halochloris	1	0	0
Halotalea alkalilenta	1	0	1
Hathewaya histolytica	0	0	1
Helicobacter apodemus	1	0	0
Helicobacter bilis	1	0	0
Helicobacter canadensis	1	0	0
Helicobacter cholecystus	0	0	1
Helicobacter cinaedi	1	0	0
Helicobacter hepaticus	1	2	2
Helicobacter himalayensis	0	2	0
Helicobacter mustelae	0	1	0
Helicobacter pullorum	0	1	2
Helicobacter pylori	0	1	0
Herminiimonas arsenicoxydans	0	0	1
Histophilus somni	0	0	1
Hoeflea phototrophica	0	1	0
Hoeflea sp. IMCC20628	0	1	1
Hungateiclostridium saccincola	0	3	2
Hungatella hathewayi	1	1	0
Hydrocarboniclastica marina	0	1	1
Hydrogenobacter thermophilus	1	0	0
Hydrogenophaga crassostreae	0	0	1
Hydrogenovibrio crunogenus	1	0	0
Hydrogenovibrio marinus	0	0	1
Hymenobacter oligotrophus	0	1	0
Hymenobacter sp. BT18	0	2	0
Hymenobacter sp. DG25A	1	0	0
Hymenobacter sp. HDW8	1	0	0
Hyphobacterium sp. CCMP332	1	1	0
Hyphomicrobium denitrificans	0	1	0
Hyphomicrobium nitrativorans	0	1	0
Hyphomonas neptunium	1	0	0
Hyphomonas sp. Mor2	1	1	0
Idiomarina sp. OT37-5b	0	0	2
Idiomarina sp. X4	0	2	0
Idiomarinaceae bacterium HL-53	0	1	0
Ignavibacterium album	1	1	1
Ilyobacter polytropus	0	1	0
Indioceanicola profundi	1	0	0
Intrasporangium calvum	0	1	0
Iodobacter fluviatilis	1	0	0
Iodobacter sp. H11R3	1	0	0
Jannaschia sp. CCS1	0	1	0
Janthinobacterium sp. B9-8	0	1	2
Jeotgalibacillus malaysiensis	1	0	0
Jeotgalicoccus saudimassiliensis	1	0	0
Kangiella koreensis	0	3	0
Kangiella sediminilitoris	1	1	0
Kerstersia gyiorum	0	0	2
Ketobacter alkanivorans	0	2	2
Ketogulonicigenium robustum	1	0	0
Ketogulonicigenium vulgare	0	1	0
Kineobactrum sp. M2	1	1	0
Komagataeibacter hansenii	1	1	0
Kordia antarctica	0	1	1
Kordia sp. SMS9	2	0	1
Kosakonia arachidis	1	0	0
Kosakonia sacchari	0	1	0
Kosakonia sp. SMBL-WEM22	0	1	0
Kozakia baliensis	1	0	0
Kushneria marisflavi	0	2	0
Labilibaculum antarcticum	1	2	5
Labrenzia alexandrii	0	1	0
Labrenzia sp. THAF82	0	2	2
Lachnoanaerobaculum umeaense	0	1	0
Lachnoclostridium phytofermentans	1	0	0
Lachnospira eligens	0	0	1
Lachnospiraceae bacterium	0	1	0
Lachnospiraceae bacterium KM106-2	0	0	1
Lacibacter sp. S13-6-6	0	2	0
Lacimicrobium alkaliphilum	0	4	0
Lacinutrix sp. 5H-3-7-4	0	0	1
Lacinutrix venerupis	1	0	0
Lactobacillus acetotolerans	0	0	1
Lactobacillus acidophilus	0	1	0
Lactobacillus agilis	1	0	0
Lactobacillus allii	0	1	0
Lactobacillus amylolyticus	0	0	1
Lactobacillus apis	1	0	0
Lactobacillus hilgardii	0	1	0
Lactobacillus hordei	1	1	0
Lactobacillus iners	1	0	0
Lactobacillus jensenii	1	1	0
Lactobacillus johnsonii	1	1	0
Lactobacillus kefiri	0	0	1
Lactobacillus mali	0	1	0
Lactobacillus oligofermentans	0	1	0
Lactobacillus paragasseri	1	0	0
Lactobacillus rhamnosus	0	1	0
Lactobacillus sakei	0	1	0
Lactobacillus salivarius	1	2	0
Lactobacillus sp. NFFJ11	0	0	1
Lactobacillus terrae	0	1	0
Lactobacillus zymae	1	0	0
Lactococcus lactis	3	0	2
Lactococcus sp. 1JSPR-7	0	0	1
Lawsonia intracellularis	0	0	1
Leadbetterella byssophila	1	0	0
Leeuwenhoekiella sp. ZYFB001	0	1	1
Legionella anisa	1	1	0
Legionella cherrii	1	0	0
Legionella clemsonensis	1	1	0
Legionella endosymbiont of Polyplax serrata	0	2	1
Legionella geestiana	0	1	0
Legionella hackeliae	0	2	1
Legionella israelensis	1	1	2
Legionella jordanis	0	0	1
Legionella lansingensis	1	0	0
Legionella longbeachae	1	1	1
Legionella oakridgensis	0	2	1
Legionella pneumophila	1	3	2
Legionella sainthelensi	0	3	0
Legionella sp. PC1000	1	1	0
Legionella sp. PC997	2	1	2
Legionella sp. TUM19329	0	0	1
Legionella waltersii	0	1	0
Leisingera aquaemixtae	0	0	1
Lelliottia amnigena	1	0	0
Lentibacillus amyloliquefaciens	0	0	1
Lentilitoribacter sp. Alg239-R112	3	0	3
Leptolyngbya boryana	1	0	0
Leptolyngbya sp. NIES-3755	0	1	0
Leptolyngbya sp. PCC 7376	0	0	1
Leptospira interrogans	1	4	4
Leptospira mayottensis	0	1	0
Leptospira santarosai	0	1	1
Leptospira tipperaryensis	0	1	0
Leptotrichia sp. oral taxon 212	1	0	0
Leptotrichia sp. oral taxon 847	1	2	0
Leptotrichia trevisanii	1	3	1
Leuconostoc gelidum	1	0	1
Leuconostoc lactis	1	0	0
Leuconostoc mesenteroides	0	1	0
Leuconostoc pseudomesenteroides	1	0	3
Liberibacter crescens	2	5	3
Limosilactobacillus fermentum	1	1	0
Liquorilactobacillus nagelii	0	0	2
Listeria ivanovii	1	1	0
Listeria monocytogenes	3	1	0
Listeria seeligeri	1	1	0
Litoricola lipolytica	0	2	0
Litorilituus sediminis	0	2	0
Longibaculum sp. KGMB06250	0	0	2
Luteimonas yindakuii	1	0	0
Lutibacter profundi	0	0	3
Lysinibacillus timonensis	1	0	0
Lysobacter sp. HDW10	0	1	0
Magnetospira sp. QH-2	1	2	0
Magnetospirillum magneticum	1	0	0
Mameliella alba	0	1	0
Mannheimia granulomatis	2	1	0
Mannheimia sp. USDA-ARS-USMARC-1261	0	1	0
Maribacter cobaltidurans	1	0	1
Maribacter dokdonensis	0	1	1
Maribacter sp. 1_2014MBL_MicDiv	2	1	2
Maribacter sp. HTCC2170	0	1	0
Maribacter sp. MJ134	4	0	0
Maribacter sp. T28	5	0	0
Maribius sp. THAF1	0	0	1
Mariniflexile sp. TRM1-10	1	1	3
Marinobacter fonticola	1	0	1
Marinobacter hydrocarbonoclasticus	2	1	2
Marinobacter salinus	1	0	1
Marinobacter similis	0	1	0
Marinobacter sp. Arc7-DN-1	0	1	0
Marinobacter sp. BSs20148	0	0	1
Marinobacter sp. CP1	1	0	0
Marinobacter sp. LQ44	2	0	5
Marinobacter sp. NP-4(2019)	1	0	1
Marinobacterium sp. LSUCC0821	0	0	1
Marinomonas mediterranea	1	1	0
Marinomonas posidonica	1	1	0
Marinomonas primoryensis	0	1	0
Marinomonas sp. MWYL1	2	0	1
Marinovum algicola	0	0	1
Maritalea myrionectae	0	2	1
Marivirga tractuosa	0	1	3
Marivivens sp. JLT3646	0	1	0
Martelella sp. AD-3	1	0	0
Massilia putida	0	0	1
Melissococcus plutonius	1	0	0
Mesobacillus foraminis	0	1	0
Mesobacillus jeotgali	0	0	4
Mesoplasma entomophilum	0	1	0
Mesoplasma syrphidae	1	0	2
Mesorhizobium amorphae	0	1	2
Mesorhizobium japonicum	1	1	0
Mesorhizobium loti	0	1	0
Mesorhizobium sp. DCY119	0	1	0
Mesorhizobium sp. M6A.T.Cr.TU.016.01.1.1	1	0	0
Mesorhizobium sp. M7D.F.Ca.US.005.01.1.1	0	1	0
Mesorhizobium sp. Pch-S	0	0	1
Mesotoga infera	0	1	0
Metabacillus litoralis	1	0	0
Metabacillus sp. KUDC1714	1	3	0
Methanobacterium congolense	0	1	0
Methanobacterium lacus	0	0	1
Methanobrevibacter millerae	1	0	0
Methanocaldococcus infernus	0	1	0
Methanocaldococcus sp. FS406-22	1	0	0
Methanolobus zinderi	0	0	1
Methanoplanus limicola	1	0	0
Methanosarcina barkeri	1	0	0
Methanosarcina horonobensis	0	0	1
Methanospirillum hungatei	1	0	0
Methylacidiphilum fumariolicum	0	2	0
Methylibium petroleiphilum	1	0	0
Methylobacterium durans	0	1	0
Methylobacterium nodulans	0	1	0
Methylobacterium sp. WL1	0	1	0
Methylocaldum marinum	1	1	0
Methylocystis heyeri	0	1	0
Methylocystis parvus	0	0	1
Methylocystis rosea	0	1	0
Methyloligella sp. GL2	0	2	0
Methylomicrobium buryatense	0	1	0
Methylomonas koyamae	0	1	0
Methylophaga frappieri	1	0	1
Methylophaga nitratireducenticrescens	1	0	1
Methylophilus sp. TWE2	0	2	0
Methylorubrum extorquens	0	1	0
Methylotenera mobilis	1	1	1
Methylotenera versatilis	0	2	0
Micavibrio aeruginosavorus	0	1	0
Microbulbifer sp. THAF38	1	4	0
Microbulbifer sp. YPW1	0	1	0
Microcystis aeruginosa	1	0	2
Micromonospora zamorensis	0	0	1
Mixta intestinalis	1	0	0
Mixta theicola	1	0	0
Mogibacterium diversum	0	0	1
Monaibacterium sp. ALG8	0	1	0
Moorea producens	3	0	2
Moraxella catarrhalis	0	0	1
Moraxella cuniculi	0	1	0
Moraxella osloensis	2	1	0
Moraxella ovis	0	4	0
Moraxellaceae bacterium HYN0046	0	1	0
Moritella viscosa	1	3	0
Mucilaginibacter gotjawali	1	1	1
Mucilaginibacter sp. HYN0043	1	1	0
Muricauda lutaonensis	1	1	0
Muricauda ruestringensis	1	0	3
Muricauda sp. 501str8	1	1	0
Mycetohabitans rhizoxinica	0	0	1
Mycoavidus cysteinexigens	1	0	0
Mycobacterium colombiense	1	0	0
Mycolicibacterium aubagnense	1	0	0
Mycolicibacterium madagascariense	1	0	0
Mycolicibacterium moriokaense	0	1	0
Mycoplasma agalactiae	0	2	0
Mycoplasma anseris	0	1	0
Mycoplasma anserisalpingitidis	0	2	0
Mycoplasma arginini	0	0	1
Mycoplasma bovirhinis	0	0	1
Mycoplasma bovis	0	0	1
Mycoplasma bovoculi	1	1	0
Mycoplasma canadense	0	1	0
Mycoplasma canis	1	3	3
Mycoplasma citelli	1	0	2
Mycoplasma crocodyli	0	2	0
Mycoplasma cynos	0	1	2
Mycoplasma edwardii	1	0	1
Mycoplasma felis	1	0	4
Mycoplasma flocculare	1	0	0
Mycoplasma genitalium	0	1	0
Mycoplasma hominis	0	1	1
Mycoplasma hyopneumoniae	0	0	1
Mycoplasma hyorhinis	0	1	0
Mycoplasma iowae	0	1	0
Mycoplasma maculosum	2	5	2
Mycoplasma mobile	0	2	1
Mycoplasma mycoides	1	0	0
Mycoplasma nasistruthionis	1	7	4
Mycoplasma orale	3	2	0
Mycoplasma ovis	0	0	1
Mycoplasma parvum	0	1	1
Mycoplasma phocicerebrale	1	1	1
Mycoplasma phocidae	0	1	0
Mycoplasma pulmonis	1	1	1
Mycoplasma sp. 1654_15	0	1	0
Mycoplasma sp. Mirounga ES2806-NAS	2	2	2
Mycoplasma sp. NEAQ87857	0	0	1
Mycoplasma synoviae	0	0	1
Mycoplasma tullyi	1	2	2
Mycoplasmopsis columboralis	0	0	2
Mycoplasmopsis gallinacea	0	1	0
Myroides odoratus	1	1	0
Myroides phaeus	0	1	1
Myroides sp. CJ210	0	0	1
Nakamurella sp. PAMC28650	0	1	0
Natranaerobius thermophilus	0	0	1
Nautilia sp. PV-1	0	3	1
Ndongobacter massiliensis	0	0	1
Neisseria animaloris	0	1	1
Neisseria cinerea	1	0	0
Neisseria elongata	0	1	0
Neisseria mucosa	2	0	0
Neisseria shayeganii	0	0	2
Neisseria sicca	3	0	0
Neisseria sp. oral taxon 014	1	0	0
Neisseria wadsworthii	0	1	0
Neisseriaceae bacterium DSM 100970	1	0	0
Neobacillus mesonae	0	0	2
Neokomagataea tanensis	1	1	2
Neorhizobium galegae	1	1	1
Neorhizobium sp. SOG26	1	0	0
Neorickettsia risticii	1	0	0
Neorickettsia sennetsu	0	0	2
Neptunomonas phycophila	0	2	2
Niabella ginsenosidivorans	0	1	0
Niastella koreensis	0	1	0
Nibribacter sp. BT10	0	0	2
Nibricoccus aquaticus	1	0	0
Nitratiruptor labii	0	1	1
Nitrincola sp. KXZD1103	1	2	1
Nitrosarchaeum sp. AC2	0	0	1
Nitrosococcus halophilus	2	0	0
Nitrosococcus oceani	1	0	0
Nitrosomonas communis	0	1	1
Nitrosomonas europaea	0	0	1
Nitrosomonas eutropha	1	1	0
Nitrosomonas sp. Is79A3	1	1	0
Nitrosomonas stercoris	2	1	3
Nitrosomonas ureae	1	0	0
Nitrosopumilus adriaticus	0	0	1
Nitrosopumilus oxyclinae	0	0	1
Nitrosopumilus piranensis	0	0	1
Nitrospira defluvii	1	0	0
Nitrospira moscoviensis	0	0	1
Niveispirillum cyanobacteriorum	0	1	0
Nocardioides sp. CF8	1	0	0
Nocardioides sp. HDW12A	0	1	0
Nodularia spumigena	1	0	0
Nonlabens dokdonensis	1	0	3
Nonlabens marinus	1	0	1
Nonlabens sp. Ci31	0	0	1
Nonlabens sp. MB-3u-79	3	0	0
Nonlabens sp. MJ115	3	0	1
Nonlabens sp. SY33080	0	0	2
Nonlabens spongiae	1	0	2
Nostoc punctiforme	0	1	1
Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	0	1	0
Nostoc sp. ATCC 53789	1	0	0
Nostoc sp. C052	0	1	0
Nostoc sp. NIES-2111	1	0	0
Nostoc sp. NIES-4103	0	0	1
Nostoc sp. PCC 7107	1	0	1
Nostoc sp. TCL26-01	1	0	0
Nostocales cyanobacterium HT-58-2	2	1	1
Novosphingobium sp. ABRDHK2	0	1	0
Novosphingobium sp. PP1Y	1	0	0
Oceanicoccus sagamiensis	2	2	0
Oceanicola sp. D3	0	0	1
Oceanihabitans sp. IOP_32	1	1	6
Oceanimonas sp. GK1	0	1	0
Oceanisphaera avium	0	2	0
Oceanispirochaeta sp. K2	0	0	1
Oceanobacillus kimchii	0	2	3
Oceanobacillus sp. 160	1	1	1
Ochrobactrum intermedium	0	0	1
Ochrobactrum pseudogrignonense	0	1	0
Octadecabacter antarcticus	1	0	1
Octadecabacter arcticus	1	0	0
Octadecabacter sp. SW4	0	1	0
Octadecabacter temperatus	1	2	0
Oleiphilus messinensis	1	0	0
Oleispira antarctica	2	0	0
Oligella urethralis	1	0	0
Oligotropha carboxidovorans	2	0	0
Olivibacter sp. SDN3	0	1	0
Olleya aquimaris	0	0	1
Olleya sp. Bg11-27	1	0	1
Orbus sp. IPMB12	2	1	0
Orientia tsutsugamushi	3	4	5
Ornithobacterium rhinotracheale	1	1	0
Oscillatoriales cyanobacterium JSC-12	0	2	0
Owenweeksia hongkongensis	1	0	0
Paenibacillus albus	1	0	0
Paenibacillus alvei	0	1	0
Paenibacillus beijingensis	1	0	0
Paenibacillus brasilensis	0	0	1
Paenibacillus crassostreae	0	0	1
Paenibacillus larvae	0	1	0
Paenibacillus lutimineralis	1	0	0
Paenibacillus physcomitrellae	1	1	1
Paenibacillus polymyxa	1	0	0
Paenibacillus psychroresistens	1	3	0
Paenibacillus sp. 32O-W	0	1	0
Paenibacillus sp. BIHB4019	1	0	0
Paenibacillus sp. FSL H7-0357	0	1	0
Paenibacillus sp. FSL R5-0345	1	1	1
Paenibacillus sp. IHBB 10380	1	0	0
Paenibacillus sp. JDR-2	0	1	0
Paenibacillus sp. M-152	0	1	0
Paenisporosarcina antarctica	0	1	0
Paludibacter propionicigenes	0	1	2
Panacibacter ginsenosidivorans	0	1	0
Pandoraea fibrosis	1	0	0
Pantoea ananatis	0	0	2
Pantoea sp. 201603H	1	0	0
Pantoea vagans	1	0	0
Paraburkholderia aromaticivorans	1	0	0
Paraburkholderia phymatum	1	0	0
Paraburkholderia phytofirmans	0	1	0
Paraburkholderia sp. SOS3	0	0	1
Paraclostridium bifermentans	0	0	2
Paracoccus aminophilus	1	0	0
Paracoccus kondratievae	1	0	1
Paracoccus sp. AK26	1	0	1
Paraflavitalea soli	0	0	2
Paraglaciecola mesophila	0	2	0
Paraglaciecola psychrophila	2	1	1
Paraglaciecola sp. L1A13	0	3	2
Paraglaciecola sp. L3A3	2	0	0
Paraliobacillus sp. X-1125	0	4	1
Paraphotobacterium marinum	2	2	3
Paraprevotella xylaniphila	1	0	0
Pararhodospirillum photometricum	1	0	0
Parasedimentitalea marina	1	0	1
Parashewanella spongiae	0	0	1
Parasphingopyxis algicola	1	0	0
Parvimonas micra	0	0	1
Parvularcula bermudensis	1	0	1
Pasteurella multocida	0	0	1
Pasteurellaceae bacterium RH1A	1	0	0
Pectobacterium carotovorum	0	1	0
Pectobacterium parmentieri	0	0	1
Pectobacterium wasabiae	0	0	1
Pediococcus acidilactici	0	1	0
Pediococcus claussenii	1	0	0
Pediococcus pentosaceus	0	1	0
Pedobacter cryoconitis	0	1	0
Pedobacter roseus	0	0	1
Pedobacter sp. CJ43	0	2	1
Pedobacter sp. G11	0	0	2
Pedobacter sp. HDW13	1	0	0
Pedobacter sp. eg	0	1	0
Pedobacter steynii	1	1	0
Pelistega sp. NLN63	0	0	2
Pelobacter propionicus	0	0	1
Pelosinus fermentans	0	1	0
Pelosinus sp. UFO1	0	1	1
Peptacetobacter hiranonis	1	1	0
Peptoclostridium acidaminophilum	1	2	0
Peptococcaceae bacterium DCMF	1	0	2
Peptoniphilus sp. ING2-D1G	0	1	1
Peptostreptococcaceae bacterium oral taxon 929	1	2	0
Peribacillus asahii	0	1	0
Peribacillus butanolivorans	0	0	1
Peribacillus simplex	0	0	2
Petrotoga mobilis	1	0	1
Phaeobacter gallaeciensis	1	4	1
Phaeobacter inhibens	1	2	0
Phaeobacter piscinae	0	2	0
Phaeobacter porticola	0	0	1
Phascolarctobacterium faecium	0	1	0
Phoenicibacter congonensis	1	0	0
Photobacterium damselae	1	0	0
Photobacterium gaetbulicola	1	1	0
Photobacterium profundum	2	0	1
Photorhabdus asymbiotica	0	0	3
Phreatobacter sp. NMCR1094	0	1	0
Phyllobacterium sp. 628	1	0	0
Piscirickettsia salmonis	2	0	3
Pistricoccus aurantiacus	0	0	2
Planctomycetes bacterium CA51	1	0	0
Planctomycetes bacterium ETA_A8	0	1	1
Planctomycetes bacterium Enr17	0	0	1
Planctomycetes bacterium K23_9	0	0	1
Planctomycetes bacterium Pan153	0	0	1
Planctomycetes bacterium Pan258	0	2	0
Planctomycetes bacterium Pan265	0	0	1
Planctomycetes bacterium Pla110	0	1	0
Planctomycetes bacterium SRT547	0	0	1
Planctomycetes bacterium TBK1r	0	0	1
Planctomycetes bacterium V6	1	0	0
Planktomarina temperata	3	3	1
Planktothrix agardhii	0	0	2
Planococcus halocryophilus	0	1	2
Planococcus kocurii	0	1	0
Planococcus plakortidis	0	0	1
Planococcus sp. PAMC 21323	1	0	0
Planococcus sp. Y42	1	0	0
Planococcus versutus	0	1	0
Plantibacter flavus	0	1	0
Plesiomonas shigelloides	0	1	0
Pleurocapsa minor	0	1	0
Pluralibacter gergoviae	1	0	0
Polaribacter reichenbachii	1	1	6
Polaribacter sp. ALD11	1	1	0
Polaribacter sp. BM10	0	0	1
Polaribacter sp. Hel1_33_78	3	2	2
Polaribacter sp. KT25b	1	3	6
Polaribacter sp. L12M9	1	1	3
Polaribacter sp. L3A8	1	0	2
Polaribacter sp. MED152	2	2	1
Polaribacter sp. SA4-10	0	0	1
Polaribacter sp. SA4-12	1	1	4
Polaribacter vadi	0	2	6
Polynucleobacter acidiphobus	1	0	1
Polynucleobacter asymbioticus	0	1	0
Polynucleobacter difficilis	1	0	1
Polynucleobacter duraquae	3	2	0
Polynucleobacter necessarius	2	1	4
Polynucleobacter paneuropaeus	0	1	0
Polynucleobacter sp. MWH-UH21B	1	4	0
Polynucleobacter wuianus	2	0	0
Pontibacter pudoricolor	0	0	1
Pontibacter russatus	1	0	0
Pontibacter sp. SGAir0037	1	0	0
Porphyromonas asaccharolytica	0	0	1
Pragia fontium	0	1	0
Prevotella melaninogenica	0	1	0
Prevotella oris	0	1	0
Prevotella sp. oral taxon 299	1	1	1
Prochlorococcus marinus	1335	313	561
Prochlorococcus sp. MIT 0604	3	1	5
Prochlorococcus sp. MIT 0801	9	8	1
Prolixibacteraceae bacterium WC007	1	1	0
Proteus hauseri	1	0	2
Proteus mirabilis	0	1	1
Proteus vulgaris	0	1	0
Providencia alcalifaciens	0	2	0
Providencia heimbachae	1	0	0
Providencia rettgeri	1	0	0
Providencia vermicola	1	0	1
Pseudanabaena sp. ABRG5-3	0	2	0
Pseudoalteromonas agarivorans	0	8	2
Pseudoalteromonas aliena	0	4	2
Pseudoalteromonas arctica	1	0	1
Pseudoalteromonas atlantica	2	0	0
Pseudoalteromonas carrageenovora	0	1	1
Pseudoalteromonas donghaensis	0	1	0
Pseudoalteromonas espejiana	0	2	0
Pseudoalteromonas marina	0	0	1
Pseudoalteromonas nigrifaciens	0	1	0
Pseudoalteromonas phenolica	0	1	2
Pseudoalteromonas piratica	7	0	4
Pseudoalteromonas piscicida	1	3	1
Pseudoalteromonas rubra	1	0	0
Pseudoalteromonas shioyasakiensis	0	1	3
Pseudoalteromonas sp. 13-15	0	0	1
Pseudoalteromonas sp. 16-SW-7	1	0	0
Pseudoalteromonas sp. 1_2015MBL_MicDiv	2	0	0
Pseudoalteromonas sp. A25	0	1	1
Pseudoalteromonas sp. Bsw20308	0	1	0
Pseudoalteromonas sp. DL-6	1	12	1
Pseudoalteromonas sp. SM9913	0	1	0
Pseudoalteromonas sp. Xi13	0	3	4
Pseudoalteromonas tetraodonis	0	2	0
Pseudoalteromonas tunicata	0	0	2
Pseudobacter ginsenosidimutans	0	0	1
Pseudobutyrivibrio xylanivorans	1	1	1
Pseudohalocynthiibacter aestuariivivens	0	1	0
Pseudohongiella spirulinae	0	1	2
Pseudolabrys taiwanensis	0	1	0
Pseudomonas cichorii	0	0	1
Pseudomonas coronafaciens	0	1	0
Pseudomonas corrugata	1	0	0
Pseudomonas extremaustralis	0	1	0
Pseudomonas fluorescens	0	1	1
Pseudomonas litoralis	0	0	1
Pseudomonas marincola	1	0	0
Pseudomonas mediterranea	1	0	0
Pseudomonas mendocina	0	0	2
Pseudomonas moraviensis	1	0	0
Pseudomonas pelagia	0	2	0
Pseudomonas pohangensis	0	0	1
Pseudomonas putida	1	2	0
Pseudomonas sabulinigri	1	0	0
Pseudomonas sp. DG56-2	0	1	0
Pseudomonas sp. DTU12.3	0	1	0
Pseudomonas sp. K2W31S-8	1	0	0
Pseudomonas sp. LTJR-52	1	0	0
Pseudomonas sp. Leaf58	2	0	0
Pseudomonas sp. M30-35	0	0	2
Pseudomonas sp. S-6-2	0	1	0
Pseudomonas sp. SGAir0191	0	1	0
Pseudomonas sp. UW4	1	0	0
Pseudomonas sp. gcc21	1	0	1
Pseudomonas stutzeri	2	3	0
Pseudomonas synxantha	1	0	0
Pseudomonas syringae	0	2	0
Pseudomonas trivialis	0	0	1
Pseudomonas umsongensis	1	0	0
Pseudopedobacter saltans	0	3	1
Pseudorhodobacter sp. S12M18	1	0	0
Pseudorhodoplanes sinuspersici	0	1	0
Pseudothermotoga thermarum	0	2	0
Psychrobacillus glaciei	0	0	1
Psychroflexus torquis	0	3	1
Psychromonas ingrahamii	2	1	0
Psychromonas sp. CNPT3	0	2	1
Pyrobaculum islandicum	1	0	0
Ralstonia pickettii	0	0	1
Ralstonia solanacearum	1	0	0
Raoultella ornithinolytica	0	0	1
Raoultella terrigena	0	1	0
Raphidiopsis curvata	2	2	1
Reinekea forsetii	1	0	0
Rheinheimera sp. D18	2	0	0
Rhizobium acidisoli	0	1	0
Rhizobium etli	0	1	0
Rhizobium gallicum	0	2	0
Rhizobium grahamii	0	1	0
Rhizobium leguminosarum	0	0	1
Rhizobium phaseoli	0	0	1
Rhizobium rhizoryzae	0	3	2
Rhizobium sp. 11515TR	0	1	0
Rhizobium sp. JKLM13E	0	0	1
Rhizobium sp. NXC14	0	1	0
Rhizobium tropici	0	1	0
Rhodobaca barguzinensis	0	2	0
Rhodobacter sp. CZR27	0	1	0
Rhodobacteraceae bacterium	1	0	0
Rhodobacteraceae bacterium 9Alg 56	0	1	1
Rhodobacteraceae bacterium BAR1	1	1	0
Rhodobacteraceae bacterium SC52	0	1	0
Rhodobacteraceae bacterium SH-1	2	1	0
Rhodobiaceae bacterium	1	1	1
Rhodoferax sediminis	0	1	0
Rhodoluna lacicola	0	0	1
Rhodomicrobium vannielii	1	0	0
Rhodopirellula baltica	1	1	0
Rhodopseudomonas palustris	0	1	0
Rhodospirillaceae bacterium B3	0	1	0
Rhodothermus marinus	0	1	0
Rhodovulum sp. MB263	0	0	1
Rhodovulum sp. P5	1	0	0
Rhodovulum sulfidophilum	1	0	0
Rickettsia asiatica	0	1	1
Rickettsia bellii	1	2	2
Rickettsia canadensis	0	1	2
Rickettsia endosymbiont of Bemisia tabaci	1	0	1
Rickettsia felis	0	0	1
Rickettsia prowazekii	1	0	0
Rickettsia raoultii	0	0	1
Rickettsia typhi	1	3	1
Rickettsiales bacterium Ac37b	2	2	4
Rickettsiales endosymbiont of Stachyamoeba lipophora	2	2	2
Riemerella anatipestifer	0	0	1
Rippkaea orientalis	1	2	0
Rivularia sp. PCC 7116	2	1	2
Romboutsia hominis	0	2	0
Romboutsia ilealis	0	1	0
Romboutsia sp. CE17	1	1	3
Roseitalea porphyridii	0	1	0
Roseivirga pacifica	3	0	0
Roseobacter denitrificans	0	0	2
Roseobacter litoralis	0	4	2
Roseobacter ponti	1	0	1
Roseomonas gilardii	0	0	1
Roseovarius indicus	1	0	1
Roseovarius sp. MME-070	1	1	0
Roseovarius sp. THAF27	0	0	2
Roseovarius sp. THAF9	0	0	1
Ruegeria sp. AD91A	0	0	1
Ruegeria sp. TM1040	0	1	0
Ruminiclostridium cellulolyticum	0	0	1
Ruminococcus bicirculans	0	1	0
Ruminococcus sp. JE7A12	0	1	0
Rummeliibacillus stabekisii	0	1	0
Saccharophagus degradans	0	2	0
Salegentibacter salegens	2	3	0
Salegentibacter sp. T436	1	2	0
Salinicoccus halodurans	0	1	0
Salinicola tamaricis	0	1	0
Salinimonas lutimaris	2	0	0
Salinimonas sediminis	2	0	0
Salinimonas sp. KX18D6	2	0	0
Saliniradius amylolyticus	1	2	0
Salinivibrio kushneri	1	0	0
Salmonella bongori	0	0	1
Scytonema sp. NIES-4073	0	0	1
Sebaldella termitidis	0	1	0
Sedimenticola thiotaurini	0	0	1
Sediminicola sp. YIK13	0	0	1
Seonamhaeicola sp. S2-3	2	0	3
Serinicoccus hydrothermalis	1	0	0
Serratia liquefaciens	0	1	0
Serratia sp. KUDC3025	0	1	0
Serratia symbiotica	0	1	0
Shewanella aestuarii	2	1	1
Shewanella baltica	0	0	2
Shewanella benthica	0	1	1
Shewanella denitrificans	1	0	2
Shewanella donghaensis	1	4	1
Shewanella japonica	2	1	1
Shewanella khirikhana	2	1	0
Shewanella livingstonensis	0	1	1
